Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
0,"Assignment_Smart_Pointers.exe",0,100.00,0.00,0.00,0.00,"",
1,"mainCRTStartup",1,100.00,0.14,15.27,0.02,"Assignment_Smart_Pointers.exe",
2,"__tmainCRTStartup",1,99.85,0.06,15.25,0.01,"Assignment_Smart_Pointers.exe",
3,"main",1,99.34,0.05,15.17,0.01,"Assignment_Smart_Pointers.exe",
4,"std::operator<<<std::char_traits<char> >",4,46.74,0.01,1.78,0.00,"Assignment_Smart_Pointers.exe",
5,"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",4,46.70,46.70,1.78,1.78,"MSVCP110.dll",
4,"Test::string_buffer_CP",1,27.90,0.01,4.26,0.00,"Assignment_Smart_Pointers.exe",
5,"std::operator<<<std::char_traits<char> >",2,27.28,0.01,2.08,0.00,"Assignment_Smart_Pointers.exe",
6,"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",2,27.21,27.21,2.08,2.08,"MSVCP110.dll",
4,"Test::string_buffer_OP",1,23.64,0.01,3.61,0.00,"Assignment_Smart_Pointers.exe",
5,"std::operator<<<std::char_traits<char> >",2,23.09,0.01,1.76,0.00,"Assignment_Smart_Pointers.exe",
6,"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",2,23.07,23.07,1.76,1.76,"MSVCP110.dll",
